"publish_date","headline_text","year","month","day"
20030425,"search underway for missing forth river rafters",2003,4,25
20130607,"health staff take hand in better hygiene",2013,6,7
20070808,"regional police vote on industrial unrest",2007,8,8
20040812,"sing thrown to sharks for comeback",2004,8,12
20040622,"australia helps train iraqi election workers",2004,6,22
20140616,"essendon coach thompson expects turnaround",2014,6,16
20160316,"extended interview with jim rickards",2016,3,16
20030413,"cherie blair to address melbourne law conference",2003,4,13
20140122,"police plead for head on crash witnesses",2014,1,22
20200319,"coronavirus australia updates covid 19 latest news live",2020,3,19
20210120,"us soldier arrested in plot to blow up new york 911 memorial",2021,1,20
20050617,"inquiry makes defence force review recommendations",2005,6,17
20201125,"lawyer jeffrey epstein ex ghislaine maxwell tough jail condition",2020,11,25
20130813,"disciplinary action possible against 11 public servants in wake",2013,8,13
20030923,"firemen rescue puppy after four storey leap of",2003,9,23
20070706,"eagles dont need cousins demetriou",2007,7,6
20130315,"abc business",2013,3,15
20051112,"3 afghan police killed in taliban attacks",2005,11,12
20030921,"no excuses from roos as swans crash to earth",2003,9,21
20130830,"cruise ship terminal opponents reject long term",2013,8,30
20080823,"dockers blocking tigers path to the finals",2008,8,23
20211213,"boris johnson warns britain faces a tidal wave of",2021,12,13
20040411,"musical fence attracts tourists attention",2004,4,11
20120113,"bikies linked to house fire",2012,1,13
20050125,"christian slater escapes knife attack in london",2005,1,25
20110421,"fatal smash blocks stuart highway",2011,4,21
20170808,"rampage through adelaide hills leaves trail of destruction",2017,8,8
20090107,"police are investigating attacks on a mosman park",2009,1,7
20120715,"swans dominate eagles to top table",2012,7,15
20210115,"rodrigo duterte philippines daughter not for women elections",2021,1,15
20180916,"is the rock the right choice to play a hawaiian king kamehameha",2018,9,16
20061121,"kosky to announce kurnai college funds",2006,11,21
20040121,"sportspeople urged to register for masters games",2004,1,21
20030317,"wimbledon may be ivanisevics last tournament report",2003,3,17
20130404,"environmental defenders office renews calls to restore funding",2013,4,4
20071206,"inspector rob harrison talks about the manhunt in",2007,12,6
20190713,"tasmania euthanasia advocates ready for new push",2019,7,13
20050802,"bhp billiton secures 100 percent stake in wmc",2005,8,2
20030718,"lebron james joined by experienced ollie",2003,7,18
20131127,"ian pinner adm package",2013,11,27
20201001,"lidia thorpe to become victorias first indigenous",2020,10,1
20120820,"john barron on us presidential campaign gaffes",2012,8,20
20181026,"australian economy jeopardised by heavy reliance on china",2018,10,26
20120308,"malaysian drugs",2012,3,8
20180612,"kenthurst teenager dies after consuming alcoholic beverage",2018,6,12
20200608,"kennier last photo",2020,6,8
20130717,"nrn green tape coalition",2013,7,17
20140505,"shot hits car as police apprehend burglary suspect",2014,5,5
20180624,"brisbanes lions harris andrews admitted to hospital",2018,6,24
20131217,"hwy upgrade",2013,12,17
20160606,"vote compass federal icac abcc",2016,6,6
20090111,"schnyder ousted from hobart international",2009,1,11
20050908,"former energex chairman to stand trial on sex",2005,9,8
20160126,"british explorer henry worsley dies on antarctica solo trip",2016,1,26
20090716,"mp backs carnarvon waterfront work",2009,7,16
20040822,"six killed aceh violence",2004,8,22
20160930,"matthew suckling not content after afl grand final omission",2016,9,30
20090120,"mayor attacks hospital second hand airconditioner",2009,1,20
20130731,"anti racism campaign launched in schools",2013,7,31
20121210,"australian sharemarket edges to a seven week high",2012,12,10
20171206,"national press club: women in business",2017,12,6
20181212,"pre raphaelite exhibition nga love desire canberra",2018,12,12
20090619,"oppn demands ritchie staffing cost",2009,6,19
20090803,"toowoomba student dies in hospital",2009,8,3
20100511,"bulldogs retain cooneys services",2010,5,11
20120426,"black caviar leads royal ascot entries",2012,4,26
20160816,"france defends burkini ban",2016,8,16
20090717,"australia and us concerned over china",2009,7,17
20171028,"manus governor threatens to block transfer of refugees",2017,10,28
20180122,"enterprise bargaining collapse behind wage weakness",2018,1,22
20061122,"kofi annan on iraq",2006,11,22
20031218,"police issue rail safety warning",2003,12,18
20081006,"man charged with brisbane murder",2008,10,6
20191123,"angry stan virtual reality technology",2019,11,23
20031229,"mongia guides india a to triangular final",2003,12,29
20150211,"papaya disease breakthrough",2015,2,11
20140603,"turnbull maintaining genial relationships with",2014,6,3
20160420,"nine year old benarby girl requests rspca donations for birthday",2016,4,20
20130812,"monday market wrap with ken howard",2013,8,12
20070712,"curious america awaits beckhams arrival",2007,7,12
20051010,"vaile joins efforts to salvage world trade talks",2005,10,10
20041231,"28 britons dead in asia tsunami disaster",2004,12,31
20080530,"protesters vow to stop gunns funding",2008,5,30
20051111,"auctioned tooth has napoleonic roots",2005,11,11
20120608,"mistakes led to rail worker's fatal collision",2012,6,8
20151212,"galpu elder gali yalkarriwuy gurruwiwi dances with",2015,12,12
20040525,"jetstar takes off with first flight",2004,5,25
20100114,"vacant luxury units blamed for rental crisis",2010,1,14
20120127,"imf australia outlook",2012,1,27
20101114,"population boom inescapable report",2010,11,14
20120710,"norman alp attacks on greens will come back to bite them",2012,7,10
20051229,"penrith board to review report on gower allegations",2005,12,29
20121207,"indigenous housing amnesty international",2012,12,7
20170912,"sam di carlo court hearing perjury charges brisbane",2017,9,12
20060228,"new chief scientist appointed",2006,2,28
20101122,"angler pushes for local fishing group",2010,11,22
20130710,"capital hill wednesday 10 july 2013",2013,7,10
20060207,"shopping centre plan triggers public fears",2006,2,7
20180614,"how to deal with trolls",2018,6,14
20130301,"heavy rain cuts hunter rail and roads",2013,3,1
20180728,"fears for advocate and examiner after merger",2018,7,28
20090721,"lawyers make closing remarks in trial",2009,7,21
20151109,"canberra man charged over death of pedestrian near bega",2015,11,9
20070130,"becks worth every cent",2007,1,30
20030730,"integrated defence force heads to malaysia",2003,7,30
20040416,"emergency service memorial at cape hillsborough",2004,4,16
20130802,"westpac customers not happy with jan over electronic banking sh",2013,8,2
